category,backbone,alpha_ok,n_seeds,false_alarm_mean,false_alarm_std,miss_mean,miss_std,unsure_mean,unsure_std
metal_nut,dinov2_s,0.25,5,0.1,0.06741998624632421,0.0,0.0,0.07652173913043478,0.022508137574860494
metal_nut,dinov2_s,0.3,5,0.1,0.06741998624632421,0.0,0.0,0.08,0.027082454786778152
metal_nut,dinov2_s,0.35,5,0.1,0.06741998624632421,0.0,0.0,0.08695652173913043,0.023814024239355046
metal_nut,dinov2_s,0.4,5,0.1,0.06741998624632421,0.0,0.0,0.0991304347826087,0.018031688133328453
metal_nut,dinov2_s,0.45,5,0.1,0.06741998624632421,0.0,0.0,0.10782608695652174,0.013187609467915739
metal_nut,dinov2_s,0.5,5,0.1,0.06741998624632421,0.0,0.0,0.11478260869565218,0.007275304578557183
metal_nut,dinov2_s,0.55,5,0.1,0.06741998624632421,0.0,0.0,0.13391304347826088,0.019051219391484034
metal_nut,dinov2_s,0.6,5,0.1,0.06741998624632421,0.0,0.0,0.14956521739130435,0.01428841454361302
metal_nut,wrn50,0.05,5,0.09090909090909091,0.03214121732666125,0.002150537634408602,0.0048087483387092254,0.0,0.0
metal_nut,wrn50,0.1,5,0.09090909090909091,0.03214121732666125,0.0,0.0,0.015652173913043476,0.021651999300849968
metal_nut,wrn50,0.15,5,0.09090909090909091,0.03214121732666125,0.0,0.0,0.029565217391304348,0.02267548662679182
metal_nut,wrn50,0.2,5,0.09090909090909091,0.03214121732666125,0.0,0.0,0.04347826086956522,0.02535196476019696
metal_nut,wrn50,0.25,5,0.09090909090909091,0.03214121732666125,0.0,0.0,0.059130434782608696,0.022508137574860494
metal_nut,wrn50,0.3,5,0.09090909090909091,0.03214121732666125,0.0,0.0,0.07652173913043478,0.016726420923192473
metal_nut,wrn50,0.35,5,0.09090909090909091,0.03214121732666125,0.0,0.0,0.08695652173913043,0.016268075594669303
metal_nut,wrn50,0.4,5,0.09090909090909091,0.03214121732666125,0.0,0.0,0.09391304347826088,0.011337743313395907
metal_nut,wrn50,0.45,5,0.09090909090909091,0.03214121732666125,0.0,0.0,0.09565217391304348,0.008695652173913045
metal_nut,wrn50,0.5,5,0.09090909090909091,0.03214121732666125,0.0,0.0,0.10434782608695652,0.021299910806810245
metal_nut,wrn50,0.55,5,0.09090909090909091,0.03214121732666125,0.0,0.0,0.11130434782608696,0.030988747271661666
metal_nut,wrn50,0.6,5,0.09090909090909091,0.03214121732666125,0.0,0.0,0.11304347826086955,0.029488391230979422
screw,dinov2_s,0.05,5,0.03902439024390243,0.03272294601219204,0.5092436974789916,0.07045806324791457,0.0,0.0
screw,dinov2_s,0.1,5,0.03902439024390243,0.03272294601219204,0.35126050420168065,0.07407361637324036,0.13125,0.05694020986965187
screw,dinov2_s,0.15,5,0.03902439024390243,0.03272294601219204,0.280672268907563,0.0921692072819917,0.19375,0.05077524002897475
screw,dinov2_s,0.2,5,0.03902439024390243,0.03272294601219204,0.1949579831932773,0.07914342640652844,0.27749999999999997,0.04229731078922157
screw,dinov2_s,0.25,5,0.03902439024390243,0.03272294601219204,0.13613445378151262,0.051596912379861345,0.34625,0.021009670392464517
screw,dinov2_s,0.3,5,0.03902439024390243,0.03272294601219204,0.0957983193277311,0.02886649418036583,0.38375,0.02005850816985152
