backbone,category,n_fit,seed,alpha_ok,false_alarm_rate,miss_rate,unsure_rate,unsure_rate_good,unsure_rate_defect,accuracy_on_decided
dinov2_s,metal_nut,176,4,0.55,0.13636363636363635,0.0,0.12173913043478261,0.5454545454545454,0.021505376344086023,0.9702970297029703
dinov2_s,metal_nut,176,4,0.6,0.13636363636363635,0.0,0.1391304347826087,0.6363636363636364,0.021505376344086023,0.9696969696969697
dinov2_s,screw,256,0,0.05,0.024390243902439025,0.5378151260504201,0.0,0.0,0.0,0.59375
dinov2_s,screw,256,0,0.1,0.024390243902439025,0.40336134453781514,0.1125,0.04878048780487805,0.13445378151260504,0.6549295774647887
dinov2_s,screw,256,0,0.15,0.024390243902439025,0.3025210084033613,0.2,0.0975609756097561,0.23529411764705882,0.7109375
dinov2_s,screw,256,0,0.2,0.024390243902439025,0.2184873949579832,0.2875,0.1951219512195122,0.31932773109243695,0.7631578947368421
dinov2_s,screw,256,0,0.25,0.024390243902439025,0.12605042016806722,0.36875,0.24390243902439024,0.4117647058823529,0.8415841584158416
dinov2_s,screw,256,0,0.3,0.024390243902439025,0.1092436974789916,0.39375,0.2926829268292683,0.42857142857142855,0.8556701030927835
dinov2_s,screw,256,0,0.35,0.024390243902439025,0.06722689075630252,0.4375,0.34146341463414637,0.47058823529411764,0.9
dinov2_s,screw,256,0,0.4,0.024390243902439025,0.03361344537815126,0.5,0.4878048780487805,0.5042016806722689,0.9375
dinov2_s,screw,256,0,0.45,0.024390243902439025,0.03361344537815126,0.50625,0.5121951219512195,0.5042016806722689,0.9367088607594937
dinov2_s,screw,256,0,0.5,0.024390243902439025,0.03361344537815126,0.55,0.6829268292682927,0.5042016806722689,0.9305555555555556
dinov2_s,screw,256,0,0.55,0.024390243902439025,0.025210084033613446,0.5625,0.7073170731707317,0.5126050420168067,0.9428571428571428
dinov2_s,screw,256,0,0.6,0.024390243902439025,0.025210084033613446,0.56875,0.7317073170731707,0.5126050420168067,0.9420289855072463
dinov2_s,screw,256,1,0.05,0.07317073170731707,0.44537815126050423,0.0,0.0,0.0,0.65
dinov2_s,screw,256,1,0.1,0.07317073170731707,0.226890756302521,0.175,0.04878048780487805,0.2184873949579832,0.7727272727272727
